Timestamp,Test Case,Step,Status,Message
2025-10-22 14:05:52,Booking Creation,Open Website,FAIL,"Traceback (most recent call last):
  File ""d:\OWAIS\python\automation\BMP\booking_customer_code.py"", line 75, in test_login_valid
    driver.get(constent.WEB_URL)
    ~~~~~~~~~~^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Awais\AppData\Local\Programs\Python\Python313\Lib\site-packages\selenium\webdriver\remote\webdriver.py"", line 472, in get
    self.execute(Command.GET, {""url"": url})
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Awais\AppData\Local\Programs\Python\Python313\Lib\site-packages\selenium\webdriver\remote\webdriver.py"", line 447, in execute
    self.error_handler.check_response(response)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^
  File ""C:\Users\Awais\AppData\Local\Programs\Python\Python313\Lib\site-packages\selenium\webdriver\remote\errorhandler.py"", line 232, in check_response
    raise exception_class(message, screen, stacktrace)
selenium.common.exceptions.WebDriverException: Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=141.0.7390.66)
Stacktrace:
	GetHandleVerifier [0x0x7ff6fdace8e5+80021]
	GetHandleVerifier [0x0x7ff6fdace940+80112]
	(No symbol) [0x0x7ff6fd85060f]
	(No symbol) [0x0x7ff6fd84d0bf]
	(No symbol) [0x0x7ff6fd83dae9]
	(No symbol) [0x0x7ff6fd83f94e]
	(No symbol) [0x0x7ff6fd83e0d2]
	(No symbol) [0x0x7ff6fd83d859]
	(No symbol) [0x0x7ff6fd83d51d]
	(No symbol) [0x0x7ff6fd83b08c]
	(No symbol) [0x0x7ff6fd83b91c]
	(No symbol) [0x0x7ff6fd8546da]
	(No symbol) [0x0x7ff6fd8fa47e]
	(No symbol) [0x0x7ff6fd8d122a]
	(No symbol) [0x0x7ff6fd8f968a]
	(No symbol) [0x0x7ff6fd8d1003]
	(No symbol) [0x0x7ff6fd8995d1]
	(No symbol) [0x0x7ff6fd89a3f3]
	GetHandleVerifier [0x0x7ff6fdd8dc7d+2960429]
	GetHandleVerifier [0x0x7ff6fdd87f3a+2936554]
	GetHandleVerifier [0x0x7ff6fdda8977+3070247]
	GetHandleVerifier [0x0x7ff6fdae83ce+185214]
	GetHandleVerifier [0x0x7ff6fdaefe1f+216527]
	GetHandleVerifier [0x0x7ff6fdad7b24+117460]
	GetHandleVerifier [0x0x7ff6fdad7cdf+117903]
	GetHandleVerifier [0x0x7ff6fdabdbb8+11112]
	BaseThreadInitThunk [0x0x7ffbe0507374+20]
	RtlUserThreadStart [0x0x7ffbe195cc91+33]

"
2025-10-22 14:06:06,Booking Creation,Open Website,PASS,
2025-10-22 14:06:08,Booking Creation,Login,PASS,
2025-10-22 14:06:11,Booking Creation,Navigate to Booking,PASS,
2025-10-22 14:06:11,Booking Creation,Upload Profile Image,PASS,
2025-10-22 14:06:11,Booking Creation,Upload Register Document,PASS,
2025-10-22 14:06:17,Booking Creation,Select vehicle,FAIL,"Traceback (most recent call last):
  File ""d:\OWAIS\python\automation\BMP\booking_customer_code.py"", line 127, in test_login_valid
    wait.until(EC.element_to_be_clickable((By.XPATH, constent.SELECT_VEHICLE))).click()
    ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Awais\AppData\Local\Programs\Python\Python313\Lib\site-packages\selenium\webdriver\support\wait.py"", line 129, in until
    value = method(self._driver)
  File ""C:\Users\Awais\AppData\Local\Programs\Python\Python313\Lib\site-packages\selenium\webdriver\support\expected_conditions.py"", line 622, in _predicate
    target = driver.find_element(*target)  # grab element at locator
  File ""C:\Users\Awais\AppData\Local\Programs\Python\Python313\Lib\site-packages\selenium\webdriver\remote\webdriver.py"", line 914, in find_element
    return self.execute(Command.FIND_ELEMENT, {""using"": by, ""value"": value})[""value""]
           ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\Awais\AppData\Local\Programs\Python\Python313\Lib\site-packages\selenium\webdriver\remote\webdriver.py"", line 447, in execute
    self.error_handler.check_response(response)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^
  File ""C:\Users\Awais\AppData\Local\Programs\Python\Python313\Lib\site-packages\selenium\webdriver\remote\errorhandler.py"", line 232, in check_response
    raise exception_class(message, screen, stacktrace)
selenium.common.exceptions.WebDriverException: Message: target frame detached
  (failed to check if window was closed: disconnected: Unable to receive message from renderer)
  (Session info: chrome=141.0.7390.66)
Stacktrace:
	GetHandleVerifier [0x0x7ff6fdace8e5+80021]
	GetHandleVerifier [0x0x7ff6fdace940+80112]
	(No symbol) [0x0x7ff6fd850425]
	(No symbol) [0x0x7ff6fd83d4aa]
	(No symbol) [0x0x7ff6fd83c34f]
	(No symbol) [0x0x7ff6fd86177a]
	(No symbol) [0x0x7ff6fd8d8b06]
	(No symbol) [0x0x7ff6fd8f8fa2]
	(No symbol) [0x0x7ff6fd8d1003]
	(No symbol) [0x0x7ff6fd8995d1]
	(No symbol) [0x0x7ff6fd89a3f3]
	GetHandleVerifier [0x0x7ff6fdd8dc7d+2960429]
	GetHandleVerifier [0x0x7ff6fdd87f3a+2936554]
	GetHandleVerifier [0x0x7ff6fdda8977+3070247]
	GetHandleVerifier [0x0x7ff6fdae83ce+185214]
	GetHandleVerifier [0x0x7ff6fdaefe1f+216527]
	GetHandleVerifier [0x0x7ff6fdad7b24+117460]
	GetHandleVerifier [0x0x7ff6fdad7cdf+117903]
	GetHandleVerifier [0x0x7ff6fdabdbb8+11112]
	BaseThreadInitThunk [0x0x7ffbe0507374+20]
	RtlUserThreadStart [0x0x7ffbe195cc91+33]

"
2025-10-22 14:20:02,Booking Creation,Open Website,PASS,
2025-10-22 14:20:04,Booking Creation,Login,PASS,
2025-10-22 14:20:08,Booking Creation,Navigate to Booking,PASS,
